scenario_id,group,true_pipe,sensor,mae,rmse,r2
scenario_00041,pipe-1,1,P6,0.093776,0.17909,0.8445
scenario_00041,pipe-1,1,Q2a,3.1e-05,3.5e-05,0.9825
scenario_00041,pipe-1,1,Q4a,2.9e-05,6.4e-05,0.5041
scenario_00041,pipe-1,1,Q5a,1.9e-05,3.7e-05,-4.4161
scenario_00041,pipe-1,1,OVERALL,0.041536,,
scenario_00042,pipe-1,1,P2,0.042936,0.047057,0.3616
scenario_00042,pipe-1,1,P3,0.016994,0.051123,0.9658
scenario_00042,pipe-1,1,P5,0.196544,0.377394,0.4948
scenario_00042,pipe-1,1,P6,0.214291,0.384604,0.4756
scenario_00042,pipe-1,1,Q2a,3.9e-05,4.5e-05,0.9348
scenario_00042,pipe-1,1,Q4a,3.8e-05,7e-05,-259.5679
scenario_00042,pipe-1,1,Q5a,4.1e-05,7.1e-05,0.0
scenario_00042,pipe-1,1,OVERALL,0.067269,,
scenario_00043,pipe-1,1,P2,0.084305,0.092352,-205.2555
scenario_00043,pipe-1,1,P3,0.00133,0.002813,0.9818
scenario_00043,pipe-1,1,P5,0.015304,0.025666,0.5977
scenario_00043,pipe-1,1,P6,0.019384,0.041064,0.793
scenario_00043,pipe-1,1,Q2a,7.4e-05,8.1e-05,-34.4494
scenario_00043,pipe-1,1,Q4a,3e-06,5e-06,-2.4681
scenario_00043,pipe-1,1,Q5a,4e-06,9e-06,0.4467
scenario_00043,pipe-1,1,OVERALL,0.017201,,
scenario_00044,pipe-1,1,P2,0.086642,0.094932,-5.5139
scenario_00044,pipe-1,1,P3,0.00684,0.014142,0.993
scenario_00044,pipe-1,1,P5,0.259505,0.420432,0.7213
scenario_00044,pipe-1,1,P6,0.160964,0.23031,0.4882
scenario_00044,pipe-1,1,Q2a,7e-05,7.7e-05,0.5383
scenario_00044,pipe-1,1,Q4a,5.2e-05,8.1e-05,0.3093
scenario_00044,pipe-1,1,Q5a,3.3e-05,4.7e-05,-19.9711
scenario_00044,pipe-1,1,OVERALL,0.073444,,
scenario_00045,pipe-1,1,P2,0.087229,0.095622,-0.6917
scenario_00045,pipe-1,1,P3,0.014815,0.034155,0.9902
scenario_00045,pipe-1,1,P5,0.155943,0.366383,0.6405
scenario_00045,pipe-1,1,P6,0.303962,0.815051,0.7678
scenario_00045,pipe-1,1,Q2a,6.3e-05,7.3e-05,0.8898
scenario_00045,pipe-1,1,Q4a,2.9e-05,6.8e-05,-46.7058
scenario_00045,pipe-1,1,Q5a,5.3e-05,0.000134,0.481
scenario_00045,pipe-1,1,OVERALL,0.080299,,
scenario_00046,pipe-1,1,P2,0.086608,0.095036,-0.0295
scenario_00046,pipe-1,1,P3,0.015906,0.037723,0.9908
scenario_00046,pipe-1,1,P5,0.270559,0.427763,0.7988
scenario_00046,pipe-1,1,P6,0.36909,0.585607,0.4078
scenario_00046,pipe-1,1,Q2a,7.4e-05,8.4e-05,0.8855
scenario_00046,pipe-1,1,Q4a,5.6e-05,8.4e-05,0.1122
scenario_00046,pipe-1,1,Q5a,7.7e-05,0.000119,0.0
scenario_00046,pipe-1,1,OVERALL,0.106053,,
scenario_00047,pipe-1,1,P2,0.084587,0.09266,-1.0266
scenario_00047,pipe-1,1,P3,0.002151,0.004999,0.9974
scenario_00047,pipe-1,1,P5,0.042112,0.084233,0.6805
scenario_00047,pipe-1,1,P6,0.040354,0.082991,0.6794
scenario_00047,pipe-1,1,Q2a,7.5e-05,8.1e-05,-2.6082
scenario_00047,pipe-1,1,Q4a,9e-06,1.8e-05,-6.4153
scenario_00047,pipe-1,1,Q5a,8e-06,1.8e-05,0.0
scenario_00047,pipe-1,1,OVERALL,0.024185,,
scenario_00048,pipe-1,1,P2,0.087014,0.095339,-6.256
scenario_00048,pipe-1,1,P3,0.005954,0.016434,0.967
scenario_00048,pipe-1,1,P5,0.118881,0.165646,0.6534
scenario_00048,pipe-1,1,P6,0.079437,0.098203,0.5775
scenario_00048,pipe-1,1,Q2a,7.1e-05,7.8e-05,-0.6569
